graph_name	topic	topic_type	depth	size	centrality_degree	similarity_threshold	subject	predicate	object	statement	qualifier	is_subj_person	is_subj_location	is_subj_event	is_subj_reason	is_subj_manner	is_obj_person	is_obj_location	is_obj_event	is_obj_reason	is_obj_manner	subj_mentions	pred_mentions	obj_mentions	sp_mentions	so_mentions	po_mentions	spo_mentions	event	distance	subj_centr_degree	obj_centr_degree	subj_wiki_occurs	obj_wiki_occurs	used	relevant
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P2031	2010-01-01T00:00:00Z	http://www.wikidata.org/entity/statement/Q56226-F0221C0E-BF09-4907-AC5B-A51B4C4995E6	http://www.wikidata.org/prop/statement/P2031	1	0	0	0	0	0	0	0	0	0	124	1	2	1	2	1	1	1	0	0	0	0	0	1	1
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P166	2011-01-01T00:00:00Z	http://www.wikidata.org/entity/statement/Q56226-f1224514-4320-d736-cc4a-9b3bd5863452	http://www.wikidata.org/prop/qualifier/P585	1	0	0	0	0	0	0	0	0	0	124	12	1	12	1	1	1	1	0	0	0	0	0	1	1
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P443	http://www.wikidata.org/entity/Q1860	http://www.wikidata.org/entity/statement/Q56226-3e55af28-4603-1d84-b4ed-96469a3d8c27	http://www.wikidata.org/prop/qualifier/P407	1	0	0	0	0	0	0	0	0	0	124	2	2	2	2	1	1	0	0	0	10000	0	0	0	0
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P443	http://www.wikidata.org/entity/Q7976	http://www.wikidata.org/entity/statement/Q56226-3e55af28-4603-1d84-b4ed-96469a3d8c27	http://www.wikidata.org/prop/qualifier/P5237	1	0	0	0	0	0	0	0	0	0	124	2	1	2	1	1	1	0	0	0	10000	0	0	0	0
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P11196	2023-04-14T00:00:00Z	http://www.wikidata.org/entity/statement/Q56226-CDFD307B-2CDE-46B6-857D-4FB2B2066965	http://www.wikidata.org/prop/qualifier/P585	1	0	0	0	0	0	0	0	0	0	124	1	1	1	1	1	1	1	0	0	0	0	0	1	0
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P106	http://www.wikidata.org/entity/Q82955	http://www.wikidata.org/entity/statement/Q56226-49E2E218-5677-430A-A211-466A16345AAB	http://www.wikidata.org/prop/statement/P106	1	0	0	0	0	0	0	0	0	0	124	1	2	1	2	1	1	0	0	0	10000	0	0	0	1
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P39	http://www.wikidata.org/entity/Q707631	http://www.wikidata.org/entity/statement/q56226-4A20B9FD-1DCF-471A-8468-61C10077C93B	http://www.wikidata.org/prop/statement/P39	1	0	0	0	0	0	0	0	0	0	124	13	3	13	3	1	1	0	0	0	36	0	0	1	1
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P39	http://www.wikidata.org/entity/Q10665	http://www.wikidata.org/entity/statement/q56226-4A20B9FD-1DCF-471A-8468-61C10077C93B	http://www.wikidata.org/prop/qualifier/P1365	1	0	0	0	0	1	0	0	0	0	124	13	6	13	6	4	4	0	0	0	261	0	0	1	1
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P1559	http://www.wikidata.org/entity/Q485619	http://www.wikidata.org/entity/statement/Q56226-529f7380-442c-39b7-b180-8f01f5a918af	http://www.wikidata.org/prop/qualifier/P282	1	0	0	0	0	0	0	0	0	0	124	2	1	2	1	1	1	0	0	0	3242	0	0	0	0
Wikidata	Kim Jong-un	Person	1	10	500	0.5	http://www.wikidata.org/entity/Q56226	http://www.wikidata.org/prop/P103	http://www.wikidata.org/entity/Q9176	http://www.wikidata.org/entity/statement/Q56226-54A12E2D-A578-4F1E-B3D9-1A7383407BC0	http://www.wikidata.org/prop/statement/P103	1	0	0	0	0	0	0	0	0	0	124	1	4	1	4	1	1	0	0	0	10000	0	0	0	1
