graph_name	topic	topic_type	depth	size	centrality_degree	similarity_threshold	num_events	num_events_who	num_events_where	num_events_why	num_events_how	num_events_related	event_completeness	num_complete_events	num_no_opt_events	avg_what_word_count	num_event_chains	longest_event_chain	smallest_event_chain	avg_event_chain_length	num_unique_events	event_min_occur	event_max_occur	avg_occur	avg_num_chars	avg_num_locs	avg_num_rel	num_unique_chars	main_char_pres	side_char_pres	main_char_rel	avg_char_pers	num_unique_locs	avg_loc_pers	narr_duration	time_sd	num_event_ent	num_event_prop	extr_duration	score
Wikidata	Battle of the Bulge	Event	1	50	500	0.5	15	12	8	0	0	9	0.50	0	0	9.07	14	2	1	1.07	15	1	1	1.00	2.13	0.14	0.14	21	0.20	0.80	0	1.24	18	1.65	0	89582.40	15	0	1.471	2
Wikidata	assassination of John F. Kennedy	Event	1	50	500	0.5	4	0	1	0	0	3	0.39	0	0	3.00	4	1	1	1.00	4	1	1	1.00	0.00	0.00	0.00	0			0	0.00	2	1.00	0	19728.00	4	0	0.82	1
Wikidata	assassination of John F. Kennedy	Event	2	50	500	0.5	7	0	2	0	0	6	0.39	0	0	2.86	7	1	1	1.00	7	1	1	1.00	0.00	0.00	0.00	0			0	0.00	4	7.00	0	18628.09	7	0	1.703	2
Wikidata	2020 United States presidential election	Event	1	50	500	0.5	90	21	85	0	0	66	0.52	0	3	6.74	8	68	1	11.25	90	1	1	1.00	0.59	0.01	0.01	36	0.02	0.23	0	1.36	5	1.80	0	4521.51	90	0	1.429	2
Wikidata	2020 United States presidential election	Event	2	50	500	0.5	299	54	282	0	0	242	0.53	0	5	6.15	35	112	1	8.54	299	1	1	1.00	1.00	0.00	0.00	82	0.03	0.17	94	3.00	24	2.21	0	14543.79	299	0	5.457	5
Wikidata	Apollo 11	Event	1	50	500	0.5	6	1	5	0	0	3	0.38	0	0	2.67	4	2	1	1.50	6	1	1	1.00	0.17	0.03	0.03	1	0.17	0.00	0	1.00	5	1.80	0	NaN	6	0	1.337	2
Wikidata	Apollo 11	Event	2	50	500	0.5	595	17	269	0	0	552	0.35	0	1	1.89	446	23	1	1.33	595	1	1	1.00	0.03	0.00	0.00	4	0.02	0.01	15	4.50	23	3.41	0	125288.07	595	0	6.646	3
Wikidata	Industrial Revolution	Event	1	50	500	0.5	2	0	1	0	0	2	0.36	0	0	6.00	2	1	1	1.00	2	1	1	1.00	0.00	0.00	0.00	0			0	0.00	1	0	0	NaN	2	0	0.992	2
Wikidata	Industrial Revolution	Event	2	50	500	0.5	4	0	2	0	0	4	0.39	0	0	4.25	4	1	1	1.00	4	1	1	1.00	0.00	0.00	0.00	0			0	0.00	3	1.00	0	NaN	4	0	2.978	2
Wikidata	Buddhism	Religion	2	50	500	0.5	38	12	27	0	0	18	0.38	0	0	2.39	32	4	1	1.19	38	1	1	1.00	2.79	0.07	0.07	28	0.05	0.29	59	3.43	29	1.14	0	1434284.35	38	0	7.537	2
Wikidata	Buddhism	Religion	1	50	500	0.5	21	3	13	0	0	8	0.31	0	0	2.05	16	3	1	1.31	21	1	1	1.00	0.14	0.01	0.01	3	0.05	0.10	0	1.00	19	1.00	0	NaN	21	0	2.166	2
Wikidata	Christianity	Religion	1	50	500	0.5	76	20	40	0	0	41	0.35	0	2	3.49	74	2	1	1.03	76	1	1	1.00	0.70	0.01	0.01	43	0.07	0.26	2	1.02	46	1.00	0	1935685.44	76	0	10.936	1
Wikidata	Christianity	Religion	2	50	500	0.5	212	39	103	0	0	127	0.34	0	2	3.16	203	3	1	1.04	212	1	1	1.00	0.53	0.00	0.00	83	0.01	0.18	1	1.13	125	1.22	0	1178037.65	212	0	25.834	1
Wikidata	Hinduism	Religion	1	50	500	0.5	30	4	22	0	0	15	0.34	0	0	1.87	13	16	1	2.31	30	1	1	1.00	0.50	0.02	0.02	15	0.03	0.13	0	1.00	31	1.03	0	NaN	30	0	6.935	1
Wikidata	Hinduism	Religion	2	50	500	0.5	72	8	50	0	0	30	0.32	0	0	2.14	50	15	1	1.44	72	1	1	1.00	0.39	0.01	0.01	19	0.01	0.10	0	1.47	61	1.25	0	NaN	72	0	11.099	1
Wikidata	Islam	Religion	1	50	500	0.5	32	12	18	0	0	16	0.35	0	0	2.63	28	3	1	1.14	32	1	1	1.00	0.50	0.02	0.02	15	0.06	0.31	1	1.07	31	1.07	0	NaN	32	0	6.368	1
Wikidata	Islam	Religion	2	50	500	0.5	159	34	60	0	0	104	0.33	0	2	2.70	151	3	1	1.05	159	1	1	1.00	0.47	0.00	0.00	54	0.01	0.21	1	1.39	83	1.20	0	3379191.63	159	0	16.243	1
Wikidata	Sikhism	Religion	1	50	500	0.5	5	1	1	0	0	4	0.31	0	0	1.60	5	1	1	1.00	5	1	1	1.00	0.40	0.08	0.08	1	0.20	0.00	0	2.00	7	1.00	0	NaN	5	0	1.132	1
Wikidata	Sikhism	Religion	2	50	500	0.5	21	2	14	0	0	8	0.31	0	0	2.67	21	1	1	1.00	21	1	1	1.00	0.29	0.01	0.01	2	0.05	0.05	4	3.00	27	1.00	0	NaN	21	0	3.114	1
Wikidata	Impressionism	Movement	2	50	500	0.5	51	18	40	0	0	32	0.43	0	0	3.69	44	4	1	1.16	51	1	1	1.00	3.33	0.07	0.07	137	0.08	0.35	1	1.04	57	1.19	0	367261.39	51	0	3.435	2
Wikidata	Impressionism	Movement	1	50	500	0.5	13	5	12	0	0	4	0.38	0	0	5.08	12	2	1	1.08	13	1	1	1.00	1.62	0.12	0.12	21	0.08	0.38	0	1.00	19	1.05	0	NaN	13	0	1.457	1
Wikidata	Renaissance	Movement	1	50	500	0.5	21	0	17	0	0	18	0.38	0	0	1.95	19	3	1	1.11	21	1	1	1.00	0.00	0.00	0.00	0			0	0.00	15	1.54	0	NaN	21	0	1.672	2
Wikidata	Renaissance	Movement	2	50	500	0.5	55	2	40	0	0	41	0.36	0	0	2.53	50	4	1	1.10	55	1	1	1.00	0.04	0.00	0.00	2	0.02	0.02	0	1.00	40	1.20	0	NaN	55	0	4.914	3
Wikidata	Cubism	Movement	2	50	500	0.5	61	23	48	0	0	25	0.37	0	0	2.56	52	3	1	1.17	61	1	1	1.00	0.97	0.02	0.02	37	0.07	0.31	5	1.49	51	1.40	0	NaN	61	0	5.736	4
Wikidata	futurism	Movement	1	50	500	0.5	6	1	6	0	0	2	0.36	0	0	2.00	4	2	1	1.50	6	1	1	1.00	1.17	0.19	0.19	7	0.17	0.17	0	1.00	5	1.80	0	NaN	6	0	1.106	1
Wikidata	futurism	Movement	2	50	500	0.5	38	12	28	0	0	14	0.35	0	0	2.29	31	3	1	1.23	38	1	1	1.00	0.97	0.03	0.03	18	0.03	0.29	6	2.06	27	2.58	0	NaN	38	0	3.083	3
Wikidata	purism	Movement	1	50	500	0.5	2	0	2	0	0	1	0.36	0	0	1.50	2	1	1	1.00	2	1	1	1.00	0.00	0.00	0.00	0			0	0.00	3	1.00	0	NaN	2	0	0.807	2
Wikidata	purism	Movement	2	50	500	0.5	24	10	19	0	0	9	0.37	0	0	2.29	18	3	1	1.33	24	1	1	1.00	0.79	0.03	0.03	10	0.13	0.29	3	1.90	20	1.68	0	NaN	24	0	2.054	2
Wikidata	modernism	Movement	1	50	500	0.5	11	1	7	0	0	8	0.35	0	0	1.64	11	1	1	1.00	11	1	1	1.00	0.09	0.01	0.01	1	0.09	0.00	0	1.00	9	1.50	0	NaN	11	0	1.391	1
Wikidata	modernism	Movement	2	50	500	0.5	54	16	39	0	0	25	0.36	0	0	2.30	48	3	1	1.13	54	1	1	1.00	0.74	0.01	0.01	31	0.06	0.24	3	1.29	37	1.41	0	NaN	54	0	4.042	2
